,Group,Name,Calories,Water,Protein,Carbohydrates,Fat,Sugar,Sucrose,Glucose,Fructose,Lactose,Maletose,Starch,Fiber,Polyols,Ash,Alcohol,Organic_Acids,Saturated_Fat,Fat_Mono.,Fat_Poly.,DHA,Cholesterol,Salt,Calcium,Choline,Cupper,Iron,Iodine,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Retinol,Alpha_Carotene,Beta_Carotene,Caffeine,Theobromine,Galactose,Fluoride,Beta_Cryptoxanthin,Lycopene,Lutein&Zeaxathin,Vitamin A,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_B9,Vitamin_B12,Vitamin_C,Vitamin_D2,Vitamin_D3,Vitamin_D,Vitamin_E,Vitamin_K1,Vitamin_K2
12,mixed salads,coleslaw w sauce prepacked,105.0,80.4,0.94,5.78,8.1,4.72,0.0,0.0,0.0,0.0,0.0,0.35,3.0,1.06,1.45,0.0,0.34,0.63,4.83,2.2,0.01,0.0,0.88,39.0,556.0,0.03,1.3,20.0,9.3,0.26,29.0,210.0,20.0,353.0,0.27,0.0,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.01,0.1,0.21,0.09300000000000001,14.6,0.0,21.6,0.0,0.0,0.25,2.21,23.0,0.0
18,soup,soup leek and potato prepacked to be reheated,37.1,90.8,0.79,4.46,1.51,0.81,0.0,0.0,0.0,0.0,0.0,3.2,1.28,0.0,0.97,0.0,0.01,0.6,0.53,0.27,0.01,4.73,0.73,16.0,450.0,0.02,0.17,20.0,5.6,0.04,16.0,94.0,20.0,290.0,0.13,21.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.23,0.14,0.23,29.3,0.045,7.95,0.0,0.0,0.0,0.28,9.13,0.0
23,soup,soup chorba frik w meat and frik,62.9,85.1,3.75,5.4,2.5,0.9,0.0,0.0,0.0,0.0,0.0,3.9,1.9,0.0,1.2,0.0,0.01,0.0,0.0,0.0,0.0,11.0,0.84,19.0,0.0,0.07,0.97,2.0,17.0,0.31,54.0,157.0,1.4,337.0,0.84,4.4,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.96,0.18,0.07,16.0,0.11,3.2,0.0,0.0,0.02,0.6,0.0,0.0
26,soup,soup  asian style with noodles  dehydrated and reconstituted,29.8,93.3,0.97,5.25,0.44,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.96,0.0,0.01,0.17,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,soup,soup moroccan dehydrated and reconstituted,34.3,90.0,1.2,5.77,0.55,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.08,0.0,0.01,0.23,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,soup,soup leek and potato dehydrated and reconstituted,26.1,92.8,0.63,4.84,0.41,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.8,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.72,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.023,0.0,292.0,0.0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.8,0.27,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
39,soup,soup  asian style with noodles  prepacked  to be reheated,22.3,0.0,0.7,3.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.9,0.0,0.01,0.2,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,soup,soup gazpacho cold,32.8,91.1,0.65,3.38,1.62,2.32,0.0,0.0,0.0,0.0,0.0,0.35,1.04,0.0,1.13,0.0,0.01,0.27,0.0,0.16,0.01,0.0,0.75,11.0,468.0,0.04,0.11,20.0,8.9,0.06,25.0,210.0,20.0,293.0,0.1,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.56,0.09300000000000001,0.040999999999999995,5.0,0.0,1.98,0.0,0.0,0.25,1.31,52.6,0.0
45,soup,soup (average),37.3,90.8,1.22,4.51,1.37,1.62,0.0,0.0,0.0,0.0,0.0,2.07,1.03,0.0,1.04,0.0,0.0,0.58,0.54,0.18,0.01,7.22,0.75,26.8,454.0,0.039,0.26,16.0,7.03,0.061,24.0,108.0,9.39,296.0,0.17,14.8,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.036000000000000004,0.47,0.22,0.11,15.9,0.22,5.19,0.0,0.0,0.0,0.48,6.87,0.0
52,dishes,duck with sauce (green pepper sauce  hunter style sauce etc ),145.0,0.0,9.55,10.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
